spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
4361820,0,7.94895e+07,0,0,0,17,0,0,0
4361818,1,1.85869e+09,0,0,0,92,0,0,0
4361794,2,2.88206e+07,0,0,0,30,0,0,0
4361793,3,1.1266e+07,0,0,0,14,0,0,0
4361792,4,3.02335e+07,0,0,0,24,0,0,0
4361790,5,3.48598e+07,0,0,0,25,0,0,0
4361788,6,1.87886e+06,0,0,0,5,0,0,0
4361787,7,594468,0,0,0,2,0,0,0
4361776,8,4.32016e+07,0,0,0,16,0,0,0
4361774,9,3.47808e+07,0,0,0,22,0,0,0
4361773,10,4.59311e+06,0,0,0,8,0,0,0
4361772,11,1.24183e+07,0,0,0,27,0,0,0
4361703,12,7.43541e+07,0,0,0,65,0,0,0
4361701,13,1.03691e+08,0,0,0,32,0,0,0
4361700,14,1.63226e+08,0,0,0,60,0,0,0
4361698,15,4.80265e+07,0,0,0,37,0,0,0
4361696,16,5.22988e+07,0,0,0,58,0,0,0
4361695,17,1.18616e+06,0,0,0,2,0,0,0
4361693,18,8.54745e+06,0,0,0,13,0,0,0
4361691,19,2.50998e+07,0,0,0,12,0,0,0
4361690,20,5.53671e+07,0,0,0,28,0,0,0
4361688,21,450074,0,0,0,6,0,0,0
4361687,22,4.44225e+06,0,0,0,6,0,0,0
4361619,23,1.56496e+07,0,0,0,43,0,0,0
4361617,24,4.82843e+06,0,0,0,3,0,0,0
4361616,25,9.23554e+06,0,0,0,15,0,0,0
4361615,26,52136.4,0,0,0,1,0,0,0
4361611,27,5.15424e+06,0,0,0,2,0,0,0
4361603,28,5.48947e+06,0,0,0,5,0,0,0
4361598,29,862971,0,0,0,1,0,0,0
4361583,30,7.56433e+06,0,0,0,42,0,0,0
4361581,31,4.616e+06,0,0,0,8,0,0,0
4361580,32,2.0483e+07,0,0,0,37,0,0,0
4361575,33,4.86877e+06,0,0,0,14,0,0,0
4361565,34,1.39084e+06,0,0,0,7,0,0,0
4361562,35,1.0349e+07,0,0,0,6,0,0,0
4361521,36,2.66504e+06,0,0,0,8,0,0,0
4361519,37,3.09027e+06,0,0,0,8,0,0,0
3351793,38,4.34251e+06,0,0,0,7,0,0,0
3351774,39,2.5455e+07,0,0,0,24,0,0,0
3351772,40,1.49848e+07,0,0,0,19,0,0,0
3351771,41,1.15005e+06,0,0,0,3,0,0,0
