"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
4361820,,7948945.446943,8907831.894000,0,2,0,0,yes,1.000000
4361818,,185868955.447226,395413225.237000,0,17,0,0,yes,1.000000
4361794,,2882061.849598,5602602.409940,0,6,0,0,yes,1.000000
4361793,,1126599.673114,2285815.015000,0,1,0,0,yes,1.000000
4361792,,3023351.433488,5128916.766000,0,4,0,0,yes,1.000000
4361790,,3485980.025518,4154543.974600,0,3,0,0,yes,1.000000
4361788,,187886.065182,590496.257700,0,1,0,0,yes,1.000000
4361787,,59446.772211,533220.022500,0,1,0,0,yes,1.000000
4361776,,4320161.074814,4616873.146000,0,2,0,0,yes,1.000000
4361774,,3478078.870803,5497876.679500,0,2,0,0,yes,1.000000
4361773,,459311.256639,655045.434100,0,1,0,0,yes,1.000000
4361772,,1241833.031584,1380739.688860,0,2,0,0,yes,1.000000
4361703,,7435411.093550,16336183.745300,0,9,0,0,yes,1.000000
4361701,,10369137.014190,14140712.452333,0,4,0,0,yes,1.000000
4361700,,16322579.594019,40626463.641456,0,11,0,0,yes,1.000000
4361698,,4802648.447308,16740774.424200,0,9,0,0,yes,1.000000
4361696,,5229877.360352,8169892.887383,0,10,0,0,yes,1.000000
4361695,,118615.702480,775515.262100,0,1,0,0,yes,1.000000
4361693,,854744.770633,2764416.486530,0,3,0,0,yes,1.000000
4361691,,2509982.011570,11022355.145400,0,4,0,0,yes,1.000000
4361690,,5536706.394725,6311031.296300,0,3,0,0,yes,1.000000
4361688,,45007.371109,71683.717730,0,1,0,0,yes,1.000000
4361687,,444225.221604,2291178.390000,0,1,0,0,yes,1.000000
4361619,,1564961.886751,1688056.165535,0,6,0,0,yes,1.000000
4361617,,482842.800590,4665333.136400,0,2,0,0,yes,1.000000
4361616,,923553.608827,5766582.698420,0,4,0,0,yes,1.000000
4361615,,5213.637214,52136.372140,0,1,0,0,yes,1.000000
4361611,,515423.649500,4142734.417000,0,1,0,0,yes,1.000000
4361603,,548946.958990,4960762.955200,0,4,0,0,yes,1.000000
4361598,,86297.138110,862971.381100,0,1,0,0,yes,1.000000
4361583,,756433.372057,999263.919847,0,7,0,0,yes,1.000000
4361581,,461600.271279,530106.433900,0,1,0,0,yes,1.000000
4361580,,2048304.759589,4661320.950120,0,8,0,0,yes,1.000000
4361575,,486876.900944,2378426.311275,0,5,0,0,yes,1.000000
4361565,,139083.984962,860236.727350,0,3,0,0,yes,1.000000
4361562,,1034902.397215,7844144.395251,0,4,0,0,yes,1.000000
4361521,,266503.904621,759575.114200,0,1,0,0,yes,1.000000
4361519,,309026.757372,634632.902400,0,1,0,0,yes,1.000000
3351793,,434250.715884,1115082.336000,0,1,0,0,yes,1.000000
3351774,,2545495.969892,3001994.648900,0,3,0,0,yes,1.000000
3351772,,1498478.656992,3134086.787720,0,3,0,0,yes,1.000000
3351771,,115005.441223,655546.869100,0,1,0,0,yes,1.000000
3351768,,70989.410880,709894.108800,0,1,0,0,yes,1.000000
3351766,,88982.764214,517703.525800,0,1,0,0,yes,1.000000
3351765,,514728.962600,1415883.970000,0,1,0,0,yes,1.000000
3351764,,299784.790690,639455.307600,0,1,0,0,yes,1.000000
3351763,,233928.221050,1241002.131000,0,1,0,0,yes,1.000000
3351731,,8989616.213169,36250141.100600,0,6,0,0,yes,1.000000
3351729,,17685126.848047,25620734.713270,0,5,0,0,yes,1.000000
3351728,,1899892.108729,5672969.318290,0,3,0,0,yes,1.000000
3351727,,113875.664200,827234.985700,0,1,0,0,yes,1.000000
